id,lang,bName,sNum,sProportion,langRank
377,Other European Language (EU): Slovak,Bromley,143,4.81E-04,33
378,South Asian Language: Sinhala,Bromley,128,4.31E-04,34
379,South Asian Language: Nepalese,Bromley,120,4.04E-04,35
380,South Asian Language: Malayalam,Bromley,119,4.00E-04,36
381,African Language: Akan,Bromley,116,3.90E-04,37
382,Other European Language (EU): Swedish,Bromley,114,3.83E-04,38
383,Other European Language (EU): Czech,Bromley,112,3.77E-04,39
384,Sign Language: British sign language,Bromley,107,3.60E-04,40
385,African Language: African language (all other),Bromley,103,3.46E-04,41
386,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Bromley,99,3.33E-04,42
387,West Central Asian Language: Kurdish,Bromley,97,3.26E-04,43
388,East Asian Language: Mandarin Chinese,Bromley,97,3.26E-04,44
389,South Asian Language: South Asian Language (all other),Bromley,92,3.09E-04,45
390,Other European Language (EU): Danish,Bromley,90,3.03E-04,46
391,Other European Language (non EU): Northern European Language (non EU),Bromley,84,2.83E-04,47
392,African Language: Shona,Bromley,81,2.72E-04,48
393,Other Languages: All other languages,Bromley,78,2.62E-04,49
394,Other European Language (EU): Latvian,Bromley,70,2.35E-04,50
395,South Asian Language: Telugu,Bromley,68,2.29E-04,51
396,East Asian Language: Vietnamese,Bromley,60,2.02E-04,52
397,African Language: Igbo,Bromley,58,1.95E-04,53
398,West-Central Asian Language: Pashto,Bromley,50,1.68E-04,54
399,Other European Language (non EU): Ukrainian,Bromley,49,1.65E-04,55
400,African Language: Swahili-Kiswahili,Bromley,47,1.58E-04,56
401,African Language: Tigrinya,Bromley,45,1.51E-04,57
402,West or Central Asian Language: West or Central Asian Language (all other),Bromley,43,1.45E-04,58
403,Other European Language (EU): Finnish,Bromley,42,1.41E-04,59
404,Welsh Cymraeg (in England only),Bromley,40,1.35E-04,60
405,East Asian Language: Malay,Bromley,39,1.31E-04,61
406,East Asian Language: East Asian Language (all other),Bromley,39,1.31E-04,62
407,African Language: West African language (all other),Bromley,37,1.24E-04,63
408,Other European Language (EU): Maltese,Bromley,29,9.75E-05,64
409,East Asian Language: Korean,Bromley,29,9.75E-05,65
410,African Language: Luganda,Bromley,29,9.75E-05,66
411,African Language: Any other Nigerian language,Bromley,29,9.75E-05,67
412,Other UK language: Total,Bromley,26,8.75E-05,68
413,Other European Language (EU): Estonian,Bromley,26,8.75E-05,69
414,Other European Language (non EU): Any other Eastern European Language (non EU),Bromley,25,8.41E-05,70
415,South Asian Language: Marathi,Bromley,25,8.41E-05,71
416,West or Central Asian Language: Hebrew,Bromley,23,7.74E-05,72
417,African Language: Amharic,Bromley,23,7.74E-05,73
418,African Language: Lingala,Bromley,19,6.39E-05,74
419,Sign Language: Any Sign Communication System,Bromley,18,6.06E-05,75
420,Sign Language: Sign Language (all other),Bromley,17,5.72E-05,76
421,Other European Language (EU): Any other European Language (EU),Bromley,15,5.05E-05,77
422,African Language: Krio,Bromley,11,3.70E-05,78
423,Other European Language (non-national): Romani language (any),Bromley,6,2.02E-05,79
424,Other European Language (EU): Slovenian,Bromley,4,1.35E-05,80
425,North-South American language (any),Bromley,2,6.73E-06,81
426,Caribbean Creole: Caribbean Creole (English-based),Bromley,1,3.36E-06,82
427,Other European Language (non-national): Yiddish,Bromley,0,0,83
428,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Bromley,0,0,84
429,Oceanic - Australian language (any),Bromley,0,0,85
430,Caribbean Creole: Caribbean Creole (all other),Bromley,0,0,86
431,English (English or Welsh if in Wales),Camden,162326,0.76536737,1
