id,lang,bName,sNum,sProportion,langRank
2209,East Asian Language: Vietnamese,Redbridge,64,2.41E-04,60
2210,African Language: Any other Nigerian language,Redbridge,62,2.33E-04,61
2211,West or Central Asian Language: Hebrew,Redbridge,51,1.92E-04,62
2212,East Asian Language: Malay,Redbridge,37,1.39E-04,63
2213,Other European Language (EU): Danish,Redbridge,36,1.35E-04,64
2214,Other European Language (non EU): Northern European Language (non EU),Redbridge,36,1.35E-04,65
2215,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Redbridge,35,1.32E-04,66
2216,African Language: Tigrinya,Redbridge,30,1.13E-04,67
2217,Other European Language (EU): Finnish,Redbridge,29,1.09E-04,68
2218,Sign Language: Sign Language (all other),Redbridge,28,1.05E-04,69
2219,Other UK language: Total,Redbridge,26,9.78E-05,70
2220,North-South American language (any),Redbridge,25,9.40E-05,71
2221,Other European Language (non-national): Romani language (any),Redbridge,20,7.52E-05,72
2222,African Language: Amharic,Redbridge,19,7.14E-05,73
2223,East Asian Language: Korean,Redbridge,16,6.02E-05,74
2224,Welsh Cymraeg (in England only),Redbridge,14,5.26E-05,75
2225,African Language: Krio,Redbridge,13,4.89E-05,76
2226,Other European Language (EU): Estonian,Redbridge,12,4.51E-05,77
2227,Other European Language (EU): Maltese,Redbridge,12,4.51E-05,78
2228,Other European Language (non EU): Any other Eastern European Language (non EU),Redbridge,10,3.76E-05,79
2229,Sign Language: Any Sign Communication System,Redbridge,9,3.38E-05,80
2230,Other European Language (EU): Any other European Language (EU),Redbridge,5,1.88E-05,81
2231,Oceanic - Australian language (any),Redbridge,5,1.88E-05,82
2232,Other European Language (EU): Slovenian,Redbridge,4,1.50E-05,83
2233,Caribbean Creole: Caribbean Creole (English-based),Redbridge,4,1.50E-05,84
2234,Other European Language (non-national): Yiddish,Redbridge,3,1.13E-05,85
2235,Caribbean Creole: Caribbean Creole (all other),Redbridge,1,3.76E-06,86
2236,English (English or Welsh if in Wales),Richmond upon Thames,159702,0.89558717,1
2237,Other European Language (EU): Polish,Richmond upon Thames,1712,0.00960066,2
2238,Other European Language (EU): German,Richmond upon Thames,1648,0.00924176,3
2239,Spanish,Richmond upon Thames,1204,0.00675187,4
2240,French,Richmond upon Thames,1169,0.00655559,5
2241,West or Central Asian Language: Persian-Farsi,Richmond upon Thames,1053,0.00590508,6
2242,Other European Language (EU): Italian,Richmond upon Thames,889,0.00498539,7
2243,Arabic,Richmond upon Thames,722,0.00404888,8
2244,South Asian Language: Panjabi,Richmond upon Thames,653,0.00366194,9
2245,Portuguese,Richmond upon Thames,626,0.00351052,10
2246,Other European Language (EU): Swedish,Richmond upon Thames,613,0.00343762,11
2247,Russian,Richmond upon Thames,589,0.00330303,12
2248,East Asian Language: Japanese,Richmond upon Thames,435,0.00243942,13
2249,South Asian Language: Gujarati,Richmond upon Thames,424,0.00237773,14
2250,South Asian Language: Bengali (with Sylheti and Chatgaya),Richmond upon Thames,401,0.00224875,15
2251,East Asian Language: All other Chinese,Richmond upon Thames,388,0.00217585,16
2252,Other European Language (non EU): Albanian,Richmond upon Thames,327,0.00183377,17
2253,Other European Language (EU): Dutch,Richmond upon Thames,326,0.00182816,18
2254,South Asian Language: Urdu,Richmond upon Thames,317,0.00177769,19
2255,Other European Language (EU): Hungarian,Richmond upon Thames,303,0.00169918,20
2256,Turkish,Richmond upon Thames,300,0.00168236,21
2257,Other European Language (EU): Bulgarian,Richmond upon Thames,225,0.00126177,22
2258,Other European Language (EU): Slovak,Richmond upon Thames,222,0.00124495,23
2259,South Asian Language: Hindi,Richmond upon Thames,219,0.00122812,24
2260,East Asian Language: Tagalog-Filipino,Richmond upon Thames,213,0.00119448,25
2261,Other European Language (EU): Greek,Richmond upon Thames,206,0.00115522,26
2262,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Richmond upon Thames,191,0.0010711,27
2263,Other European Language (EU): Danish,Richmond upon Thames,179,0.00100381,28
2264,Other European Language (EU): Czech,Richmond upon Thames,171,9.59E-04,29
2265,Other European Language (non EU): Northern European Language (non EU),Richmond upon Thames,167,9.37E-04,30
2266,African Language: Afrikaans,Richmond upon Thames,158,8.86E-04,31
2267,Other European Language (EU): Lithuanian,Richmond upon Thames,155,8.69E-04,32
2268,South Asian Language: Tamil,Richmond upon Thames,155,8.69E-04,33
2269,East Asian Language: Thai,Richmond upon Thames,154,8.64E-04,34
2270,East Asian Language: Cantonese Chinese,Richmond upon Thames,149,8.36E-04,35
2271,Other European Language (EU): Romanian,Richmond upon Thames,148,8.30E-04,36
2272,West-Central Asian Language: Pashto,Richmond upon Thames,138,7.74E-04,37
2273,Other European Language (EU): Finnish,Richmond upon Thames,132,7.40E-04,38
2274,West Central Asian Language: Kurdish,Richmond upon Thames,123,6.90E-04,39
2275,South Asian Language: Sinhala,Richmond upon Thames,104,5.83E-04,40
2276,East Asian Language: Korean,Richmond upon Thames,90,5.05E-04,41
2277,East Asian Language: Mandarin Chinese,Richmond upon Thames,85,4.77E-04,42
2278,Other Languages: All other languages,Richmond upon Thames,85,4.77E-04,43
2279,West or Central Asian Language: West or Central Asian Language (all other),Richmond upon Thames,80,4.49E-04,44
2280,Welsh Cymraeg (in England only),Richmond upon Thames,66,3.70E-04,45
2281,African Language: African language (all other),Richmond upon Thames,63,3.53E-04,46
2282,African Language: Somali,Richmond upon Thames,61,3.42E-04,47
2283,East Asian Language: East Asian Language (all other),Richmond upon Thames,59,3.31E-04,48
2284,South Asian Language: Nepalese,Richmond upon Thames,55,3.08E-04,49
2285,South Asian Language: South Asian Language (all other),Richmond upon Thames,54,3.03E-04,50
2286,East Asian Language: Vietnamese,Richmond upon Thames,53,2.97E-04,51
2287,West or Central Asian Language: Hebrew,Richmond upon Thames,42,2.36E-04,52
2288,African Language: Shona,Richmond upon Thames,40,2.24E-04,53
2289,South Asian Language: Malayalam,Richmond upon Thames,36,2.02E-04,54
2290,Other European Language (EU): Estonian,Richmond upon Thames,35,1.96E-04,55
2291,Other European Language (EU): Latvian,Richmond upon Thames,33,1.85E-04,56
2292,Other European Language (non EU): Ukrainian,Richmond upon Thames,33,1.85E-04,57
2293,Other European Language (non EU): Any other Eastern European Language (non EU),Richmond upon Thames,29,1.63E-04,58
2294,South Asian Language: Telugu,Richmond upon Thames,26,1.46E-04,59
2295,African Language: Tigrinya,Richmond upon Thames,25,1.40E-04,60
2296,African Language: Amharic,Richmond upon Thames,24,1.35E-04,61
2297,Sign Language: British sign language,Richmond upon Thames,23,1.29E-04,62
2298,Other European Language (EU): Any other European Language (EU),Richmond upon Thames,22,1.23E-04,63
2299,African Language: Swahili-Kiswahili,Richmond upon Thames,22,1.23E-04,64
2300,East Asian Language: Malay,Richmond upon Thames,21,1.18E-04,65
2301,South Asian Language: Marathi,Richmond upon Thames,18,1.01E-04,66
2302,African Language: Lingala,Richmond upon Thames,18,1.01E-04,67
2303,African Language: West African language (all other),Richmond upon Thames,18,1.01E-04,68
2304,Other European Language (EU): Maltese,Richmond upon Thames,14,7.85E-05,69
2305,African Language: Akan,Richmond upon Thames,14,7.85E-05,70
2306,Sign Language: Any Sign Communication System,Richmond upon Thames,12,6.73E-05,71
2307,Other UK language: Total,Richmond upon Thames,11,6.17E-05,72
2308,African Language: Yoruba,Richmond upon Thames,11,6.17E-05,73
2309,African Language: Luganda,Richmond upon Thames,8,4.49E-05,74
2310,African Language: Any other Nigerian language,Richmond upon Thames,8,4.49E-05,75
2311,Other European Language (EU): Slovenian,Richmond upon Thames,6,3.37E-05,76
2312,North-South American language (any),Richmond upon Thames,4,2.24E-05,77
2313,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Richmond upon Thames,2,1.12E-05,78
2314,Caribbean Creole: Caribbean Creole (English-based),Richmond upon Thames,2,1.12E-05,79
2315,Other European Language (non-national): Romani language (any),Richmond upon Thames,1,5.61E-06,80
2316,Oceanic - Australian language (any),Richmond upon Thames,1,5.61E-06,81
2317,Sign Language: Sign Language (all other),Richmond upon Thames,1,5.61E-06,82
2318,Other European Language (non-national): Yiddish,Richmond upon Thames,0,0,83
2319,Caribbean Creole: Caribbean Creole (all other),Richmond upon Thames,0,0,84
2320,African Language: Krio,Richmond upon Thames,0,0,85
2321,African Language: Igbo,Richmond upon Thames,0,0,86
2322,English (English or Welsh if in Wales),Southwark,221308,0.80405172,1
2323,Spanish,Southwark,6429,0.02335771,2
2324,French,Southwark,4404,0.01600052,3
2325,Portuguese,Southwark,3653,0.01327201,4
2326,Other European Language (EU): Polish,Southwark,3171,0.01152081,5
2327,East Asian Language: All other Chinese,Southwark,2749,0.00998761,6
2328,Other European Language (EU): Italian,Southwark,2527,0.00918104,7
2329,Turkish,Southwark,1961,0.00712467,8
2330,South Asian Language: Bengali (with Sylheti and Chatgaya),Southwark,1957,0.00711013,9
2331,Arabic,Southwark,1870,0.00679405,10
2332,African Language: Yoruba,Southwark,1715,0.0062309,11
2333,Other European Language (EU): German,Southwark,1551,0.00563506,12
2334,African Language: Somali,Southwark,1359,0.00493749,13
2335,African Language: Akan,Southwark,1023,0.00371674,14
2336,Russian,Southwark,977,0.00354962,15
2337,East Asian Language: Vietnamese,Southwark,937,0.00340429,16
2338,Other European Language (EU): Greek,Southwark,919,0.00333889,17
2339,East Asian Language: Cantonese Chinese,Southwark,830,0.00301554,18
2340,East Asian Language: Tagalog-Filipino,Southwark,803,0.00291744,19
2341,Other European Language (EU): Lithuanian,Southwark,655,0.00237973,20
2342,Other European Language (EU): Romanian,Southwark,569,0.00206728,21
2343,Other European Language (EU): Hungarian,Southwark,547,0.00198735,22
2344,Other European Language (EU): Bulgarian,Southwark,539,0.00195828,23
2345,Other European Language (non EU): Albanian,Southwark,514,0.00186745,24
2346,West or Central Asian Language: Persian-Farsi,Southwark,513,0.00186382,25
2347,African Language: West African language (all other),Southwark,513,0.00186382,26
2348,East Asian Language: Mandarin Chinese,Southwark,495,0.00179842,27
2349,South Asian Language: Urdu,Southwark,493,0.00179116,28
2350,African Language: Amharic,Southwark,474,0.00172213,29
2351,African Language: Any other Nigerian language,Southwark,456,0.00165673,30
2352,East Asian Language: Japanese,Southwark,453,0.00164583,31
2353,Other European Language (EU): Swedish,Southwark,430,0.00156227,32
2354,West Central Asian Language: Kurdish,Southwark,429,0.00155863,33
2355,African Language: Tigrinya,Southwark,419,0.0015223,34
2356,Other European Language (EU): Dutch,Southwark,412,0.00149687,35
2357,Other Languages: All other languages,Southwark,407,0.0014787,36
2358,African Language: Afrikaans,Southwark,382,0.00138787,37
2359,African Language: Igbo,Southwark,379,0.00137698,38
2360,South Asian Language: Hindi,Southwark,369,0.00134064,39
2361,South Asian Language: Gujarati,Southwark,358,0.00130068,40
2362,East Asian Language: Korean,Southwark,337,0.00122438,41
2363,Other European Language (EU): Slovak,Southwark,310,0.00112629,42
2364,African Language: African language (all other),Southwark,294,0.00106815,43
2365,African Language: Krio,Southwark,285,0.00103546,44
2366,West-Central Asian Language: Pashto,Southwark,256,9.30E-04,45
2367,East Asian Language: Thai,Southwark,253,9.19E-04,46
2368,Other European Language (EU): Czech,Southwark,240,8.72E-04,47
2369,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Southwark,239,8.68E-04,48
2370,East Asian Language: East Asian Language (all other),Southwark,208,7.56E-04,49
2371,Other European Language (EU): Danish,Southwark,190,6.90E-04,50
2372,Other European Language (EU): Latvian,Southwark,183,6.65E-04,51
2373,South Asian Language: Tamil,Southwark,181,6.58E-04,52
2374,West or Central Asian Language: West or Central Asian Language (all other),Southwark,179,6.50E-04,53
2375,Other European Language (non EU): Northern European Language (non EU),Southwark,175,6.36E-04,54
2376,Other European Language (EU): Finnish,Southwark,162,5.89E-04,55
2377,South Asian Language: South Asian Language (all other),Southwark,144,5.23E-04,56
2378,South Asian Language: Panjabi,Southwark,126,4.58E-04,57
2379,African Language: Swahili-Kiswahili,Southwark,120,4.36E-04,58
2380,African Language: Luganda,Southwark,116,4.21E-04,59
2381,African Language: Shona,Southwark,112,4.07E-04,60
2382,Sign Language: British sign language,Southwark,111,4.03E-04,61
2383,Other European Language (non EU): Ukrainian,Southwark,103,3.74E-04,62
2384,South Asian Language: Malayalam,Southwark,98,3.56E-04,63
2385,Other European Language (EU): Any other European Language (EU),Southwark,96,3.49E-04,64
2386,African Language: Lingala,Southwark,91,3.31E-04,65
2387,East Asian Language: Malay,Southwark,77,2.80E-04,66
2388,Other UK language: Total,Southwark,65,2.36E-04,67
2389,South Asian Language: Nepalese,Southwark,64,2.33E-04,68
2390,Other European Language (EU): Estonian,Southwark,63,2.29E-04,69
2391,Welsh Cymraeg (in England only),Southwark,55,2.00E-04,70
2392,South Asian Language: Telugu,Southwark,53,1.93E-04,71
2393,South Asian Language: Sinhala,Southwark,50,1.82E-04,72
2394,West or Central Asian Language: Hebrew,Southwark,43,1.56E-04,73
2395,South Asian Language: Marathi,Southwark,39,1.42E-04,74
2396,Other European Language (EU): Maltese,Southwark,38,1.38E-04,75
2397,Other European Language (EU): Slovenian,Southwark,34,1.24E-04,76
2398,Other European Language (non EU): Any other Eastern European Language (non EU),Southwark,29,1.05E-04,77
2399,Sign Language: Sign Language (all other),Southwark,25,9.08E-05,78
2400,Caribbean Creole: Caribbean Creole (English-based),Southwark,17,6.18E-05,79
2401,Sign Language: Any Sign Communication System,Southwark,17,6.18E-05,80
2402,Oceanic - Australian language (any),Southwark,5,1.82E-05,81
2403,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Southwark,4,1.45E-05,82
2404,Other European Language (non-national): Romani language (any),Southwark,2,7.27E-06,83
2405,Caribbean Creole: Caribbean Creole (all other),Southwark,2,7.27E-06,84
2406,North-South American language (any),Southwark,1,3.63E-06,85
2407,Other European Language (non-national): Yiddish,Southwark,0,0,86
2408,English (English or Welsh if in Wales),Sutton,164103,0.89978616,1
2409,South Asian Language: Tamil,Sutton,2715,0.0148865,2
2410,Other European Language (EU): Polish,Sutton,1921,0.01053295,3
2411,South Asian Language: Urdu,Sutton,961,0.00526922,4
2412,Portuguese,Sutton,812,0.00445224,5
2413,South Asian Language: Gujarati,Sutton,738,0.0040465,6
2414,East Asian Language: Tagalog-Filipino,Sutton,594,0.00325694,7
2415,Arabic,Sutton,593,0.00325145,8
2416,East Asian Language: All other Chinese,Sutton,567,0.00310889,9
2417,French,Sutton,543,0.0029773,10
2418,Spanish,Sutton,535,0.00293344,11
2419,South Asian Language: Bengali (with Sylheti and Chatgaya),Sutton,521,0.00285667,12
2420,East Asian Language: Korean,Sutton,511,0.00280184,13
2421,Other European Language (EU): Bulgarian,Sutton,493,0.00270315,14
2422,West or Central Asian Language: Persian-Farsi,Sutton,453,0.00248382,15
2423,Turkish,Sutton,397,0.00217677,16
2424,Other European Language (EU): Italian,Sutton,374,0.00205066,17
2425,Russian,Sutton,313,0.0017162,18
2426,Other European Language (EU): Romanian,Sutton,287,0.00157364,19
2427,Other European Language (EU): Lithuanian,Sutton,271,0.00148591,20
2428,Other European Language (EU): German,Sutton,252,0.00138173,21
2429,South Asian Language: Malayalam,Sutton,234,0.00128304,22
2430,South Asian Language: Nepalese,Sutton,231,0.00126659,23
2431,South Asian Language: Hindi,Sutton,215,0.00117886,24
2432,East Asian Language: Cantonese Chinese,Sutton,213,0.00116789,25
2433,South Asian Language: Sinhala,Sutton,199,0.00109113,26
2434,Other European Language (non EU): Albanian,Sutton,176,9.65E-04,27
2435,West Central Asian Language: Kurdish,Sutton,164,8.99E-04,28
2436,East Asian Language: Japanese,Sutton,155,8.50E-04,29
2437,Other European Language (EU): Hungarian,Sutton,148,8.11E-04,30
2438,South Asian Language: Panjabi,Sutton,144,7.90E-04,31
2439,African Language: Shona,Sutton,134,7.35E-04,32
2440,African Language: African language (all other),Sutton,128,7.02E-04,33
2441,Other Languages: All other languages,Sutton,126,6.91E-04,34
2442,East Asian Language: Thai,Sutton,124,6.80E-04,35
2443,Other European Language (EU): Greek,Sutton,119,6.52E-04,36
2444,African Language: Afrikaans,Sutton,114,6.25E-04,37
2445,African Language: Akan,Sutton,110,6.03E-04,38
2446,Other European Language (EU): Czech,Sutton,107,5.87E-04,39
2447,Other European Language (EU): Slovak,Sutton,102,5.59E-04,40
2448,South Asian Language: South Asian Language (all other),Sutton,97,5.32E-04,41
2449,East Asian Language: Mandarin Chinese,Sutton,93,5.10E-04,42
2450,West or Central Asian Language: West or Central Asian Language (all other),Sutton,90,4.93E-04,43
2451,West-Central Asian Language: Pashto,Sutton,88,4.83E-04,44
2452,Other European Language (EU): Dutch,Sutton,82,4.50E-04,45
2453,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Sutton,70,3.84E-04,46
2454,African Language: Yoruba,Sutton,67,3.67E-04,47
2455,South Asian Language: Telugu,Sutton,66,3.62E-04,48
2456,African Language: Luganda,Sutton,66,3.62E-04,49
2457,South Asian Language: Marathi,Sutton,57,3.13E-04,50
2458,Sign Language: British sign language,Sutton,57,3.13E-04,51
2459,East Asian Language: East Asian Language (all other),Sutton,51,2.80E-04,52
2460,Other European Language (EU): Swedish,Sutton,50,2.74E-04,53
2461,African Language: Somali,Sutton,50,2.74E-04,54
2462,Other European Language (non EU): Ukrainian,Sutton,43,2.36E-04,55
2463,African Language: West African language (all other),Sutton,37,2.03E-04,56
2464,Other European Language (non EU): Northern European Language (non EU),Sutton,33,1.81E-04,57
2465,Other European Language (EU): Danish,Sutton,31,1.70E-04,58
2466,Other European Language (EU): Finnish,Sutton,29,1.59E-04,59
2467,East Asian Language: Vietnamese,Sutton,27,1.48E-04,60
2468,East Asian Language: Malay,Sutton,26,1.43E-04,61
2469,Other European Language (EU): Maltese,Sutton,24,1.32E-04,62
2470,Other European Language (EU): Latvian,Sutton,23,1.26E-04,63
2471,Other European Language (non EU): Any other Eastern European Language (non EU),Sutton,21,1.15E-04,64
2472,African Language: Lingala,Sutton,20,1.10E-04,65
2473,African Language: Swahili-Kiswahili,Sutton,19,1.04E-04,66
2474,African Language: Any other Nigerian language,Sutton,19,1.04E-04,67
2475,Welsh Cymraeg (in England only),Sutton,17,9.32E-05,68
2476,Other European Language (EU): Estonian,Sutton,16,8.77E-05,69
2477,African Language: Igbo,Sutton,16,8.77E-05,70
2478,African Language: Tigrinya,Sutton,15,8.23E-05,71
2479,Other UK language: Total,Sutton,13,7.13E-05,72
2480,Sign Language: Sign Language (all other),Sutton,12,6.58E-05,73
2481,Sign Language: Any Sign Communication System,Sutton,11,6.03E-05,74
2482,African Language: Amharic,Sutton,10,5.48E-05,75
2483,African Language: Krio,Sutton,10,5.48E-05,76
2484,Other European Language (EU): Slovenian,Sutton,8,4.39E-05,77
2485,North-South American language (any),Sutton,6,3.29E-05,78
2486,West or Central Asian Language: Hebrew,Sutton,5,2.74E-05,79
2487,Other European Language (EU): Any other European Language (EU),Sutton,4,2.19E-05,80
2488,Oceanic - Australian language (any),Sutton,2,1.10E-05,81
2489,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Sutton,1,5.48E-06,82
2490,Caribbean Creole: Caribbean Creole (English-based),Sutton,1,5.48E-06,83
2491,Other European Language (non-national): Romani language (any),Sutton,0,0,84
2492,Other European Language (non-national): Yiddish,Sutton,0,0,85
2493,Caribbean Creole: Caribbean Creole (all other),Sutton,0,0,86
2494,English (English or Welsh if in Wales),Tower Hamlets,159488,0.65804067,1
2495,South Asian Language: Bengali (with Sylheti and Chatgaya),Tower Hamlets,43525,0.17958229,2
2496,French,Tower Hamlets,3286,0.0135579,3
2497,Spanish,Tower Hamlets,2928,0.0120808,4
2498,East Asian Language: All other Chinese,Tower Hamlets,2790,0.01151142,5
2499,Other European Language (EU): Italian,Tower Hamlets,2684,0.01107407,6
2500,African Language: Somali,Tower Hamlets,2465,0.01017048,7
2501,Other European Language (EU): Polish,Tower Hamlets,2287,0.00943606,8
2502,Portuguese,Tower Hamlets,2033,0.00838807,9
2503,Other European Language (EU): German,Tower Hamlets,1757,0.00724931,10
2504,Russian,Tower Hamlets,1467,0.00605278,11
2505,Arabic,Tower Hamlets,1386,0.00571858,12
2506,Turkish,Tower Hamlets,1069,0.00441065,13
2507,Other European Language (EU): Lithuanian,Tower Hamlets,926,0.00382064,14
2508,Other European Language (EU): Greek,Tower Hamlets,893,0.00368448,15
2509,East Asian Language: Cantonese Chinese,Tower Hamlets,721,0.00297482,16
2510,South Asian Language: Urdu,Tower Hamlets,670,0.00276439,17
2511,Other European Language (EU): Hungarian,Tower Hamlets,637,0.00262823,18
2512,East Asian Language: Vietnamese,Tower Hamlets,603,0.00248795,19
2513,Other European Language (EU): Swedish,Tower Hamlets,597,0.0024632,20
2514,South Asian Language: Hindi,Tower Hamlets,561,0.00231466,21
2515,Other European Language (EU): Bulgarian,Tower Hamlets,515,0.00212487,22
2516,East Asian Language: Japanese,Tower Hamlets,509,0.00210011,23
2517,East Asian Language: Mandarin Chinese,Tower Hamlets,504,0.00207948,24
2518,Other European Language (EU): Romanian,Tower Hamlets,411,0.00169577,25
2519,South Asian Language: South Asian Language (all other),Tower Hamlets,404,0.00166689,26
2520,Other European Language (EU): Dutch,Tower Hamlets,373,0.00153898,27
2521,East Asian Language: Korean,Tower Hamlets,316,0.0013038,28
2522,West or Central Asian Language: West or Central Asian Language (all other),Tower Hamlets,309,0.00127492,29
2523,West or Central Asian Language: Persian-Farsi,Tower Hamlets,306,0.00126254,30
2524,East Asian Language: Tagalog-Filipino,Tower Hamlets,291,0.00120065,31
2525,South Asian Language: Panjabi,Tower Hamlets,261,0.00107687,32
2526,Other European Language (non EU): Northern European Language (non EU),Tower Hamlets,248,0.00102324,33
2527,Other European Language (EU): Slovak,Tower Hamlets,244,0.00100673,34
2528,Other European Language (EU): Danish,Tower Hamlets,242,9.98E-04,35
2529,East Asian Language: Thai,Tower Hamlets,214,8.83E-04,36
2530,African Language: Amharic,Tower Hamlets,210,8.66E-04,37
2531,Other European Language (non EU): Albanian,Tower Hamlets,203,8.38E-04,38
2532,Other Languages: All other languages,Tower Hamlets,203,8.38E-04,39
2533,South Asian Language: Gujarati,Tower Hamlets,195,8.05E-04,40
2534,Other European Language (EU): Latvian,Tower Hamlets,191,7.88E-04,41
2535,Other European Language (EU): Czech,Tower Hamlets,190,7.84E-04,42
2536,African Language: African language (all other),Tower Hamlets,180,7.43E-04,43
2537,Other European Language (EU): Finnish,Tower Hamlets,163,6.73E-04,44
2538,West Central Asian Language: Kurdish,Tower Hamlets,160,6.60E-04,45
2539,South Asian Language: Malayalam,Tower Hamlets,160,6.60E-04,46
2540,East Asian Language: East Asian Language (all other),Tower Hamlets,156,6.44E-04,47
2541,East Asian Language: Malay,Tower Hamlets,150,6.19E-04,48
2542,African Language: Akan,Tower Hamlets,148,6.11E-04,49
2543,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Tower Hamlets,147,6.07E-04,50
2544,South Asian Language: Tamil,Tower Hamlets,146,6.02E-04,51
2545,African Language: Tigrinya,Tower Hamlets,145,5.98E-04,52
2546,African Language: Afrikaans,Tower Hamlets,124,5.12E-04,53
2547,African Language: Any other Nigerian language,Tower Hamlets,111,4.58E-04,54
2548,Other European Language (EU): Maltese,Tower Hamlets,102,4.21E-04,55
2549,African Language: Swahili-Kiswahili,Tower Hamlets,101,4.17E-04,56
2550,Other European Language (EU): Any other European Language (EU),Tower Hamlets,100,4.13E-04,57
2551,African Language: West African language (all other),Tower Hamlets,93,3.84E-04,58
2552,African Language: Yoruba,Tower Hamlets,91,3.75E-04,59
2553,Sign Language: British sign language,Tower Hamlets,91,3.75E-04,60
2554,Other European Language (non EU): Ukrainian,Tower Hamlets,89,3.67E-04,61
2555,South Asian Language: Nepalese,Tower Hamlets,80,3.30E-04,62
2556,Other European Language (EU): Estonian,Tower Hamlets,77,3.18E-04,63
2557,West-Central Asian Language: Pashto,Tower Hamlets,74,3.05E-04,64
2558,African Language: Igbo,Tower Hamlets,70,2.89E-04,65
2559,West or Central Asian Language: Hebrew,Tower Hamlets,65,2.68E-04,66
2560,South Asian Language: Telugu,Tower Hamlets,52,2.15E-04,67
2561,South Asian Language: Marathi,Tower Hamlets,51,2.10E-04,68
2562,Welsh Cymraeg (in England only),Tower Hamlets,50,2.06E-04,69
2563,African Language: Shona,Tower Hamlets,40,1.65E-04,70
2564,Other European Language (EU): Slovenian,Tower Hamlets,39,1.61E-04,71
2565,African Language: Lingala,Tower Hamlets,34,1.40E-04,72
2566,Other UK language: Total,Tower Hamlets,30,1.24E-04,73
2567,South Asian Language: Sinhala,Tower Hamlets,28,1.16E-04,74
2568,African Language: Luganda,Tower Hamlets,24,9.90E-05,75
2569,Other European Language (non EU): Any other Eastern European Language (non EU),Tower Hamlets,20,8.25E-05,76
2570,Sign Language: Sign Language (all other),Tower Hamlets,20,8.25E-05,77
2571,African Language: Krio,Tower Hamlets,12,4.95E-05,78
2572,Other European Language (non-national): Yiddish,Tower Hamlets,11,4.54E-05,79
2573,Caribbean Creole: Caribbean Creole (English-based),Tower Hamlets,6,2.48E-05,80
2574,Sign Language: Any Sign Communication System,Tower Hamlets,6,2.48E-05,81
2575,Oceanic - Australian language (any),Tower Hamlets,3,1.24E-05,82
2576,North-South American language (any),Tower Hamlets,3,1.24E-05,83
2577,Caribbean Creole: Caribbean Creole (all other),Tower Hamlets,3,1.24E-05,84
2578,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Tower Hamlets,1,4.13E-06,85
2579,Other European Language (non-national): Romani language (any),Tower Hamlets,0,0,86
2580,English (English or Welsh if in Wales),Waltham Forest,180543,0.73564909,1
2581,South Asian Language: Urdu,Waltham Forest,8034,0.03273572,2
2582,Other European Language (EU): Polish,Waltham Forest,8021,0.03268275,3
2583,Other European Language (EU): Romanian,Waltham Forest,4031,0.0164249,4
2584,Turkish,Waltham Forest,3868,0.01576074,5
2585,Other European Language (EU): Lithuanian,Waltham Forest,3171,0.01292071,6
2586,South Asian Language: Panjabi,Waltham Forest,2971,0.01210578,7
2587,South Asian Language: Tamil,Waltham Forest,2354,0.00959172,8
2588,South Asian Language: Bengali (with Sylheti and Chatgaya),Waltham Forest,2346,0.00955912,9
2589,French,Waltham Forest,2297,0.00935947,10
2590,Other European Language (EU): Bulgarian,Waltham Forest,2155,0.00878087,11
2591,Portuguese,Waltham Forest,1927,0.00785185,12
2592,Arabic,Waltham Forest,1914,0.00779888,13
2593,African Language: Somali,Waltham Forest,1840,0.00749735,14
2594,South Asian Language: Gujarati,Waltham Forest,1737,0.00707766,15
2595,Spanish,Waltham Forest,1546,0.00629941,16
2596,Russian,Waltham Forest,1192,0.00485698,17
2597,Other European Language (EU): Italian,Waltham Forest,1014,0.00413169,18
2598,Other European Language (non EU): Albanian,Waltham Forest,924,0.00376497,19
2599,Other European Language (EU): Slovak,Waltham Forest,857,0.00349197,20
2600,East Asian Language: All other Chinese,Waltham Forest,815,0.00332084,21
2601,East Asian Language: Tagalog-Filipino,Waltham Forest,725,0.00295412,22
2602,African Language: Akan,Waltham Forest,677,0.00275854,23
2603,West-Central Asian Language: Pashto,Waltham Forest,671,0.00273409,24
2604,Other European Language (EU): Hungarian,Waltham Forest,652,0.00265667,25
2605,West or Central Asian Language: Persian-Farsi,Waltham Forest,639,0.0026037,26
2606,Other European Language (EU): Greek,Waltham Forest,561,0.00228588,27
2607,Other European Language (EU): German,Waltham Forest,550,0.00224106,28
2608,Other European Language (EU): Czech,Waltham Forest,486,0.00198028,29
2609,Other Languages: All other languages,Waltham Forest,444,0.00180914,30
2610,African Language: Swahili-Kiswahili,Waltham Forest,398,0.00162171,31
2611,Other European Language (EU): Latvian,Waltham Forest,390,0.00158911,32
